,JPY3M BGN Curncy,GBP3M BGN Curncy,SEK3M BGN Curncy,AUD3M BGN Curncy,CAD3M BGN Curncy,JPYEUR3M BGN Curncy,GBPEUR3M BGN Curncy,SEKEUR3M BGN Curncy
2012/1/3,76.6278,1.563523,6.852161,1.027114,1.012478,0.9994191,1.197238,0.111748076
2012/1/4,76.6164,1.560583,6.865556,1.026544,1.014799,1.0076205,1.204726,0.112444081
2012/1/5,77.008,1.5482,6.96137,1.016261,1.021935,1.014535,1.209545,0.112231597
2012/1/6,76.8667,1.541316,6.969449,1.012673,1.030465,1.0220977,1.210933,0.112740862
2012/1/9,76.7649,1.544503,6.925596,1.01385,1.025554,1.0200341,1.209179,0.113037403
2012/1/10,76.7606,1.547105,6.92548,1.02112,1.017446,1.0189665,1.210135,0.112945983
2012/1/11,76.7601,1.531604,6.96727,1.020687,1.021656,1.0247035,1.204809,0.112897932
2012/1/12,76.6776,1.531959,6.958232,1.022977,1.021165,1.0173289,1.195114,0.112130152
2012/1/13,76.8772,1.530457,7.02128,1.021827,1.025236,1.0255034,1.206383,0.112276026
2012/1/16,76.6912,1.531168,7.013589,1.021178,1.019921,1.0288143,1.208155,0.112507801
2012/1/17,76.7471,1.53216,6.957045,1.027241,1.017142,1.022569,1.202506,0.112804264
2012/1/18,76.7446,1.542509,6.872777,1.033323,1.013218,1.0125419,1.198656,0.113067989
2012/1/19,77.0266,1.547506,6.778486,1.031519,1.012832,1.0007073,1.192889,0.113723831
2012/1/20,76.9302,1.556306,6.812002,1.037954,1.015225,1.0046058,1.203038,0.113464372
2012/1/23,76.9468,1.555415,6.774089,1.042017,1.010625,0.9982218,1.194802,0.113363987
2012/1/24,77.5944,1.561335,6.785377,1.038923,1.011032,0.9882491,1.197253,0.113000073
2012/1/25,77.7076,1.564521,6.770602,1.049222,1.006365,0.9814896,1.193281,0.112658338
2012/1/26,77.3835,1.567711,6.81301,1.052847,1.003879,0.9855397,1.195592,0.111948891
2012/1/27,76.6235,1.571651,6.770525,1.055426,1.00388,0.9869302,1.188484,0.11169077
