,GJGB-USG,GUKG-USG,GTSEK-USG,GTAUD-USG,GTCAD-USG,GJGB-EURO,GUKG-EURO,GTSEK-EURO
1/4/2012,0.0988 ,0.4621 ,1.2999 ,3.9628 ,0.7898 ,-1.2100 ,-0.8467 ,-0.0089 
2/1/2012,0.0511 ,0.3986 ,1.3161 ,4.0407 ,0.8171 ,-1.0080 ,-0.6605 ,0.2570 
3/1/2012,0.0358 ,0.3646 ,1.2998 ,3.9248 ,0.8638 ,-0.8600 ,-0.5312 ,0.4040 
4/1/2012,0.0389 ,0.3510 ,1.3079 ,3.8293 ,0.8389 ,-0.6720 ,-0.3599 ,0.5970 
5/1/2012,0.0186 ,0.3111 ,1.2906 ,3.7036 ,0.9716 ,-0.6030 ,-0.3105 ,0.6690 
6/1/2012,0.0381 ,0.3111 ,1.3111 ,2.9806 ,0.8371 ,-0.5610 ,-0.2880 ,0.7120 
7/1/2012,0.0229 ,0.2781 ,0.9795 ,3.1596 ,0.7919 ,-0.5490 ,-0.2938 ,0.4076 
8/1/2012,0.0127 ,0.2707 ,0.9207 ,3.1977 ,0.8867 ,-0.2770 ,-0.0190 ,0.6310 
9/1/2012,0.0330 ,0.2540 ,1.0810 ,3.3500 ,0.9570 ,-0.1740 ,0.0470 ,0.8740 
10/1/2012,0.0209 ,0.2539 ,1.0298 ,3.2039 ,0.8859 ,-0.1210 ,0.1120 ,0.8879 
11/1/2012,0.0147 ,0.2207 ,0.9157 ,2.9467 ,0.8957 ,-0.0910 ,0.1150 ,0.8100 
12/1/2012,0.0299 ,0.2399 ,0.8959 ,2.9559 ,0.8769 ,-0.0850 ,0.1250 ,0.7810 
1/1/2013,0.0694 ,0.2874 ,0.8414 ,2.9174 ,0.8804 ,-0.0770 ,0.1410 ,0.6950 
2/1/2013,0.0421 ,0.2851 ,0.8391 ,2.8491 ,0.8591 ,-0.1260 ,0.1170 ,0.6710 
3/1/2013,-0.0274 ,0.3056 ,0.7976 ,2.7996 ,0.8366 ,-0.1320 ,0.2010 ,0.6930 
4/1/2013,0.0034 ,0.3684 ,0.8534 ,2.8794 ,0.9194 ,-0.1620 ,0.2030 ,0.6880 
5/1/2013,0.0523 ,0.3413 ,0.8343 ,2.4903 ,0.9203 ,-0.1040 ,0.1850 ,0.6780 
6/1/2013,0.0597 ,0.3557 ,0.8767 ,2.4757 ,0.9787 ,-0.1150 ,0.1810 ,0.7020 
7/1/2013,0.0999 ,0.4069 ,0.8379 ,2.4963 ,1.0039 ,-0.1120 ,0.1950 ,0.6260 
8/1/2013,0.0615 ,0.3485 ,0.8425 ,2.3445 ,0.9625 ,-0.1310 ,0.1560 ,0.6500 
9/1/2013,0.0707 ,0.3327 ,0.8347 ,2.3497 ,0.9667 ,-0.1330 ,0.1290 ,0.6310 
10/1/2013,0.0318 ,0.3698 ,0.8068 ,2.1448 ,0.9538 ,-0.1780 ,0.1600 ,0.5970 
11/1/2013,0.0355 ,0.3585 ,0.8865 ,2.2145 ,0.8665 ,-0.1550 ,0.1680 ,0.6960 
12/1/2013,0.0072 ,0.3122 ,0.7782 ,2.2314 ,0.8772 ,-0.1710 ,0.1340 ,0.6000 
1/1/2014,-0.0039 ,0.2841 ,0.6041 ,2.2286 ,0.8371 ,-0.2250 ,0.0630 ,0.3830 
2/1/2014,0.0367 ,0.3827 ,0.6607 ,2.2811 ,0.8597 ,-0.2390 ,0.1070 ,0.3850 
3/1/2014,0.0034 ,0.3734 ,0.6374 ,2.2622 ,0.7894 ,-0.2370 ,0.1330 ,0.3970 
