,GJGB-USG,GUKG-USG,GTSEK-USG,GTAUD-USG,GTCAD-USG,GJGB-EURO,GUKG-EURO,GTSEK-EURO
2012/1/4,2.0135 ,5.3586 ,9.8809 ,26.6030 ,8.1277 ,-15.5368 ,-13.9597 ,-0.1324 
2012/2/1,0.9037 ,5.0078 ,12.4278 ,50.3241 ,12.2917 ,-9.7785 ,-8.5720 ,4.7452 
2012/3/1,0.4088 ,6.1240 ,13.6993 ,46.8896 ,18.0650 ,-7.3523 ,-7.1731 ,7.7232 
2012/4/1,0.3961 ,4.4875 ,10.8418 ,38.6496 ,12.7499 ,-5.5502 ,-5.5524 ,9.6416 
2012/5/1,0.2187 ,5.6803 ,15.3056 ,40.4128 ,12.9054 ,-5.6493 ,-7.5477 ,14.8733 
2012/6/1,0.5264 ,6.0121 ,14.7122 ,32.8971 ,13.0029 ,-5.9538 ,-4.6937 ,12.1299 
2012/7/1,0.2864 ,3.5512 ,10.0362 ,24.8284 ,8.4128 ,-4.1601 ,-4.2579 ,9.3154 
2012/8/1,0.2164 ,3.1841 ,8.8610 ,28.2449 ,10.3984 ,-2.2382 ,-0.2929 ,7.7988 
2012/9/1,0.6445 ,3.7753 ,12.0824 ,41.7587 ,18.0493 ,-1.7842 ,0.7872 ,9.3403 
2012/10/1,0.3142 ,5.6595 ,10.0569 ,39.5839 ,15.6373 ,-1.3293 ,1.9965 ,10.4477 
2012/11/1,0.2829 ,4.0100 ,10.6126 ,42.0329 ,14.4649 ,-1.0693 ,2.3151 ,12.1792 
2012/12/1,0.4014 ,5.1679 ,10.3459 ,47.3426 ,22.9019 ,-0.8711 ,2.6599 ,12.4317 
2013/1/1,1.0067 ,6.5296 ,10.3650 ,59.4844 ,25.1474 ,-0.8865 ,3.1611 ,11.1536 
2013/2/1,0.3594 ,4.2023 ,11.0655 ,44.7244 ,16.6201 ,-0.7700 ,1.6113 ,13.8973 
2013/3/1,-0.2086 ,4.0597 ,8.3296 ,38.3314 ,15.6430 ,-0.7284 ,1.7682 ,10.8790 
2013/4/1,0.0327 ,5.1778 ,8.5209 ,44.6379 ,18.5277 ,-1.1385 ,2.3638 ,11.7541 
2013/5/1,0.3211 ,4.8823 ,7.0861 ,29.1761 ,16.2583 ,-0.5432 ,2.9240 ,8.4520 
2013/6/1,0.5203 ,4.8845 ,7.7193 ,28.3003 ,13.9084 ,-1.3204 ,3.0409 ,11.5954 
2013/7/1,0.6393 ,5.0251 ,6.6163 ,17.3210 ,12.0882 ,-0.8548 ,3.8210 ,6.7008 
2013/8/1,0.5210 ,3.7308 ,6.1750 ,17.5447 ,14.5204 ,-1.5858 ,2.8192 ,6.5974 
2013/9/1,0.5687 ,4.8401 ,8.1208 ,20.9691 ,15.8689 ,-1.3507 ,2.2364 ,8.7667 
2013/10/1,0.2912 ,5.7315 ,7.2679 ,19.9154 ,17.1045 ,-1.8713 ,3.1533 ,8.3124 
