,JPY BGN ,GBP BGN ,SEK BGN ,AUD BGN,CAD BGN,JPYEUR BGN,GBPEUR BGN ,SEKEUR BGN 
2012/1/3,77.64,1.5514,6.902,1.0234,1.0189,1.01192,1.2001,0.11299
2012/1/4,76.91,1.5649,6.8243,1.0378,1.0104,0.99997,1.1943,0.11277
2012/1/5,76.9,1.562,6.8379,1.0369,1.0127,1.00395,1.2045,0.11327
2012/1/6,76.74,1.5495,6.9341,1.0264,1.0198,0.9977,1.1963,0.11358
2012/1/9,76.72,1.5426,6.9418,1.0228,1.0284,0.98768,1.1987,0.11348
2012/1/10,77.12,1.5458,6.8971,1.024,1.0235,0.98094,1.1947,0.11341
2012/1/11,76.97,1.5484,6.8966,1.0314,1.0154,0.98495,1.1969,0.11263
2012/1/12,76.86,1.5329,6.9391,1.031,1.0196,0.98624,1.1898,0.1128
2012/1/13,76.85,1.5333,6.9299,1.0333,1.0191,0.99676,1.1953,0.11304
2012/1/16,76.85,1.5318,6.9919,1.0322,1.0232,1.00218,1.2045,0.11333
2012/1/17,76.76,1.5325,6.984,1.0314,1.0179,0.99695,1.203,0.11359
2012/1/18,76.97,1.5335,6.9273,1.0376,1.0151,0.99821,1.2026,0.11425
2012/1/19,76.78,1.5438,6.8437,1.0437,1.0112,0.9921,1.2021,0.114
2012/1/20,76.83,1.5488,6.7496,1.0419,1.0108,0.99491,1.2049,0.11391
2012/1/23,76.82,1.5576,6.7826,1.0484,1.0132,0.98239,1.1988,0.11354
2012/1/24,77.11,1.5567,6.7445,1.0525,1.0086,0.9789,1.1929,0.11317
2012/1/25,77.01,1.5626,6.7558,1.0492,1.009,0.96913,1.1906,0.11244
2012/1/26,77.02,1.5658,6.7424,1.0597,1.0043,0.97625,1.1938,0.11218
2012/1/27,77.67,1.569,6.7851,1.0632,1.0018,0.9776,1.1957,0.11284
2012/1/30,77.78,1.5729,6.7431,1.0658,1.0018,0.97069,1.1949,0.11239
2012/1/31,77.45,1.571,6.7419,1.0599,1.0015,0.97577,1.201,0.11282
2012/2/1,76.7,1.576,6.8,1.0621,1.0026,0.96482,1.2033,0.11286
2012/2/2,76.35,1.5834,6.7349,1.0705,0.9986,0.9566,1.2046,0.11383
2012/2/3,76.27,1.5806,6.7414,1.0712,0.9993,0.94822,1.1969,0.11329
2012/2/6,76.2,1.5815,6.6783,1.0771,0.9934,0.94747,1.1922,0.11323
2012/2/7,76.22,1.5821,6.723,1.0726,0.996,0.94001,1.1827,0.11359
2012/2/8,76.6,1.5896,6.6597,1.0809,0.9944,0.93477,1.1774,0.11356
2012/2/9,76.55,1.5818,6.639,1.0799,0.996,0.91566,1.1802,0.11374
2012/2/10,76.76,1.5818,6.6283,1.0785,0.9947,0.92594,1.1811,0.11379
2012/2/13,77.04,1.5755,6.6618,1.0673,1.0014,0.9235,1.1816,0.11397
2012/2/14,77.67,1.5767,6.6643,1.0732,0.9997,0.92487,1.1944,0.11382
2012/2/15,77.61,1.5692,6.6805,1.0691,0.9991,0.92616,1.1986,0.11328
2012/2/16,77.57,1.5693,6.724,1.0697,1,0.926,1.1996,0.11313
2012/2/17,78.44,1.58,6.7227,1.0755,0.9966,0.92769,1.2004,0.11349
2012/2/20,78.43,1.5827,6.7275,1.0706,0.9968,0.94274,1.1986,0.11351
2012/2/21,78.94,1.5851,6.6533,1.0756,0.9935,0.93783,1.1972,0.11332
2012/2/22,79.55,1.5778,6.657,1.0663,0.9969,0.92366,1.1926,0.11302
2012/2/23,79.63,1.5669,6.6609,1.0638,0.9998,0.92387,1.1944,0.1134
2012/2/24,79.74,1.5745,6.616,1.0717,0.9975,0.92437,1.189,0.11316
2012/2/27,80.29,1.5875,6.558,1.0694,0.9993,0.92144,1.2004,0.11338
2012/2/28,80,1.5824,6.5957,1.0758,0.999,0.91638,1.2028,0.11337
2012/2/29,81.2,1.5901,6.5513,1.0766,0.9953,0.91481,1.2011,0.11342
2012/3/1,80.61,1.5917,6.6194,1.0732,0.9899,0.90968,1.2026,0.11345
2012/3/2,80.46,1.5957,6.6246,1.0809,0.9855,0.9063,1.2005,0.11292
2012/3/5,81.15,1.5835,6.6782,1.0733,0.9893,0.90325,1.1995,0.1122
2012/3/6,81.12,1.5865,6.7001,1.0671,0.9946,0.90719,1.201,0.11217
2012/3/7,81.81,1.5717,6.797,1.0553,1.0019,0.91783,1.1985,0.1124
2012/3/8,81.56,1.5742,6.7797,1.0583,0.9974,0.91518,1.1959,0.11201
2012/3/9,80.89,1.5831,6.7022,1.0644,0.9902,0.90373,1.1955,0.11172
2012/3/12,81.09,1.5674,6.8027,1.0576,0.9905,0.90277,1.198,0.11287
2012/3/13,81.56,1.5641,6.8041,1.0516,0.9924,0.90584,1.1931,0.112
2012/3/14,82.46,1.5705,6.7723,1.0553,0.9886,0.91177,1.1997,0.11263
2012/3/15,82.23,1.5675,6.8505,1.0453,0.9926,0.90449,1.1999,0.11255
2012/3/16,82.94,1.5711,6.7881,1.0525,0.9918,0.91467,1.203,0.11249
2012/3/19,83.73,1.5844,6.7438,1.059,0.9917,0.91251,1.2025,0.11218
2012/3/20,83.57,1.5894,6.715,1.0607,0.9869,0.92271,1.2091,0.11264
2012/3/21,83.43,1.5863,6.7406,1.048,0.9915,0.92921,1.2114,0.11188
2012/3/22,83.35,1.5873,6.7176,1.0459,0.9922,0.93531,1.212,0.11192
2012/3/23,83.7,1.5821,6.7699,1.0389,0.9993,0.9363,1.2126,0.1123
2012/3/26,83.41,1.5869,6.7333,1.0467,0.9978,0.94755,1.2126,0.11231
2012/3/27,82.54,1.5971,6.665,1.0534,0.9906,0.94342,1.2134,0.11276
2012/3/28,82.35,1.5951,6.6878,1.046,0.9948,0.93755,1.2102,0.1128
2012/3/29,82.82,1.5889,6.6594,1.0389,0.9983,0.94496,1.2118,0.11331
2012/3/30,83.17,1.5958,6.6646,1.0383,0.9964,0.94637,1.2099,0.11368
2012/4/2,82.9,1.6008,6.6147,1.0346,0.9987,0.94229,1.2131,0.11378
2012/4/3,82.46,1.6024,6.6052,1.0419,0.9906,0.93786,1.2209,0.11363
2012/4/4,82.87,1.5913,6.6414,1.0331,0.9911,0.93279,1.2218,0.11334
2012/4/5,82.08,1.589,6.6961,1.027,0.9963,0.92797,1.2196,0.11309
2012/4/6,82.81,1.5828,6.7528,1.0299,0.9931,0.93626,1.2262,0.11294
2012/4/9,82.46,1.5871,6.7522,1.0307,0.9972,0.93186,1.2232,0.11233
2012/4/10,82.37,1.5892,6.7558,1.0313,0.9976,0.93016,1.2229,0.11217
2012/4/11,81.64,1.5862,6.805,1.0251,1.0045,0.9338,1.2243,0.11241
2012/4/12,81.49,1.5907,6.8,1.03,1.0038,0.93986,1.2271,0.11262
2012/4/13,80.67,1.596,6.7459,1.0438,0.9943,0.94632,1.2262,0.11248
2012/4/16,80.86,1.5847,6.7897,1.037,0.9997,0.94324,1.2254,0.11253
2012/4/17,80.89,1.59,6.7652,1.0356,0.9994,0.94829,1.2311,0.11296
2012/4/18,80.93,1.5924,6.7698,1.039,0.9902,0.94821,1.23,0.1131
2012/4/19,80.41,1.6023,6.7457,1.0359,0.9912,0.9571,1.2344,0.11314
2012/4/20,80.85,1.6052,6.7303,1.0331,0.9957,0.95902,1.2406,0.11251
2012/4/23,81.26,1.6122,6.6864,1.038,0.9924,0.96269,1.2424,0.11248
2012/4/24,81.61,1.6132,6.756,1.0319,0.9913,0.97126,1.2475,0.11252
2012/4/25,81.52,1.6144,6.7367,1.0315,0.9871,0.96719,1.2482,0.11262
2012/4/26,81.18,1.6163,6.7241,1.0353,0.9833,0.96839,1.244,0.11233
2012/4/27,81.32,1.6186,6.7169,1.039,0.9843,0.97662,1.2549,0.11235
2012/4/30,81.34,1.6265,6.7153,1.0471,0.9804,0.97974,1.2564,0.11233
2012/5/1,80.99,1.6234,6.7232,1.0429,0.9872,0.97892,1.2511,0.11278
2012/5/2,80.27,1.6221,6.7254,1.0334,0.9854,0.99334,1.244,0.11256
2012/5/3,79.82,1.62,6.7385,1.0333,0.9863,0.99,1.2375,0.11212
2012/5/4,80.09,1.6178,6.7549,1.0264,0.9885,0.98372,1.2353,0.11225
2012/5/7,80.14,1.6151,6.8171,1.0182,0.9961,0.98599,1.2427,0.11218
